"user_id","name","city","gender","total_orders","total_spent"
U002814,Patricia Olson,West Michaelville,Male,2,12720.22
U006469,Audrey Ware,South Robertstad,Female,4,12682.78
U005921,Stanley Wood,South Peterstad,Female,2,12391.6
U005803,Alyssa Jones,Turnermouth,Other,2,12133.7
U003637,Eric Hernandez,West Tonyashire,Male,4,11905.06
U005269,Donald Rush,Annettebury,Other,6,11706.02
U000829,Lisa Everett,Lindatown,Other,4,11635.86
U002851,Jonathan Ramirez,Myersshire,Female,2,11580.94
U004530,Tara Wright,South Diane,Female,4,11244.06
U004942,Jason Harrell,Henryberg,Male,6,10843.96
U005169,John Matthews,Clarkshire,Female,2,10313.26
U002376,Andrew Clayton,South Ericfort,Other,2,10250.82
U007043,Charles Roberson,New Lynn,Female,2,10106.9
U004539,Sarah Kirk,West Andrewborough,Female,2,10004.98
U005897,Alex Durham,Port Danielbury,Other,4,9996.84
U003794,Thomas Ramirez,New Joshua,Female,2,9991.66
U004906,Brenda Winters,East Emilyview,Other,4,9821.1
U006206,Melissa Jackson,South Ashley,Other,2,9652.5
U000386,Christopher Davis,Port Gina,Female,2,9599.88
U007204,Robert Combs,Savannahview,Male,2,9401.12
U007682,Madison Guerrero,East Aaronville,Female,4,9140.36
U006311,Adrienne Foster,New Alan,Other,4,9068.0
U007793,Tanya Wallace,North Brandonville,Male,2,8756.06
U000778,Jesus Brewer,Port Joshuabury,Male,2,8566.86
U007569,Travis Hernandez,Port Deborah,Female,2,8462.92
U000932,Kenneth Jones,Scottfort,Female,4,8393.14
U002508,Maureen Young,Burkemouth,Female,2,8280.86
U006295,Valerie Brown,New Amanda,Other,2,8213.98
U003723,Aaron Walker,Tylerville,Female,4,8209.2
U009903,Jessica Russell,Nolanborough,Female,4,8189.7
U006783,Joshua Stanley,East Eddietown,Other,6,8158.38
U009032,Jennifer Thomas,Christinaview,Other,4,8143.18
U008253,Brandon Vaughan,Morrowshire,Female,4,7969.52
U000097,David Ryan,Coffeyport,Male,6,7913.02
U003814,Christopher Kennedy,New Austin,Female,2,7909.0
U002662,Steven Lee,Christinatown,Female,2,7898.84
U005273,Colin Lee,Castanedaport,Male,2,7877.76
U009525,Sherri Nelson,Kelleyview,Female,4,7866.8
U006092,Alex Patterson,South Donald,Other,2,7830.36
U009681,Mark Richard,Mckeeberg,Female,4,7817.64
U003335,Stacey Jimenez,Port Alexisville,Female,4,7746.36
U005280,Denise Munoz,Taylorside,Female,2,7737.68
U004129,Heather Smith,Tonymouth,Other,2,7735.86
U001935,Ricky Decker,North Williamville,Other,2,7722.12
U000399,Courtney Luna,Hammondborough,Male,2,7676.24
U008212,Holly Miles,Arnoldfort,Male,2,7606.62
U005618,Sabrina Rocha,Port Andrew,Other,4,7592.38
U001998,Dominic Simpson,Singhton,Male,2,7545.12
U005226,Travis Wade,South Monicachester,Other,2,7519.44
U006318,Christopher Holden,Sheachester,Other,2,7510.44
U003755,Rachel Carter,New Kenneth,Female,4,7451.82
U008770,Joseph Patterson,Port Amberland,Other,2,7448.54
U009990,Brittany Weber,Lake Kaylastad,Male,2,7433.58
U006097,Anne Sandoval,Sandrahaven,Other,2,7400.12
U008574,Kimberly Hoffman,Holtshire,Male,4,7296.56
U001168,Scott Cobb,Lake Garychester,Female,2,7237.76
U000245,Crystal Lopez,South Brittany,Male,2,7226.8
U004941,Sean Jordan,West William,Female,2,7197.18
U003778,Kristen Hernandez,Port Joe,Other,2,7192.34
U006722,Paul Aguilar,Jacobberg,Female,6,7182.18
U004810,Brian Mack,Richardview,Male,2,7181.7
U009149,Michael Weber,Karatown,Female,2,7145.2
U007930,Robert Jennings,Port James,Male,6,7123.4
U001465,Danielle Sanchez,Elizabethberg,Male,2,7105.92
U004487,Brian Robinson,Lake Jennahaven,Female,2,7085.08
U002624,David Stevens,New John,Male,4,7083.54
U002377,Eric Taylor,North Michael,Other,6,7063.78
U004594,Nathan Brown,North Alexis,Female,4,7031.38
U008465,Trevor Schwartz,Gregton,Male,4,7000.78
U006666,Kayla Hernandez,Port Ashleychester,Female,2,7000.04
U009048,Jonathan Gibson,New Jamie,Female,4,6908.46
U005330,Mandy Knapp,East James,Other,4,6896.6
U005153,Joseph Medina,Christopherstad,Male,2,6882.4
U004988,Donald Foster,Elizabethbury,Male,4,6879.9
U006874,Diane Gordon,Port Kristin,Male,4,6838.66
U001687,Richard James,Jackieton,Other,2,6837.68
U002104,Christine Taylor,South Melissa,Female,6,6836.42
U004842,Jonathan Gross,Barkermouth,Male,4,6762.84
U005608,Kelly Adams,Thomasfort,Female,4,6744.54
U004428,Mikayla Crawford,West Johnton,Male,2,6700.92
U002142,Nichole Harris,Mooreberg,Other,2,6700.16
U000482,Julie Kelley,Port Dennis,Female,4,6692.86
U004345,Jessica Mccann,West Ericatown,Female,2,6661.12
U006341,Wendy Grant,Meganland,Male,2,6632.7
U003209,Robert Ferrell,Port Don,Other,6,6630.62
U002773,Jared Torres,Clarkberg,Other,6,6619.7
U009511,Gregory Castillo,Padillaton,Female,4,6551.58
U006904,Allen Ross,Grosstown,Male,4,6523.46
U004717,Michael Rivera,Travisberg,Male,4,6516.28
U008784,James Walker,North Jason,Male,4,6513.44
U008184,Zachary Clark,Edwardmouth,Male,4,6493.0
U000217,Jennifer Freeman,Port Adamberg,Other,4,6454.12
U007587,Levi Duncan,Jonathanfurt,Male,4,6443.36
U000827,Brenda Woods,North Jasontown,Female,4,6386.26
U003562,Heidi Brown,Port Cynthiabury,Female,2,6366.92
U004782,Beth Mcpherson,Howardville,Other,4,6355.62
U001916,Richard Vargas,Coltonview,Other,2,6334.88
U007286,Lisa Sanchez,Jeffreyview,Other,4,6332.78
U006215,Jeffrey Nichols,Mirandahaven,Other,4,6284.46
U009854,Abigail Patterson,East Kimberly,Male,4,6252.56
U003411,Tony Thomas,South Chaseside,Male,2,6212.44
U005163,Wendy Briggs,Christianberg,Male,2,6156.5
U007167,Randall Sanford,East Stephanie,Female,2,6119.16
U003044,Jose Nixon,Austinmouth,Female,4,6101.06
U005806,Emma Jefferson,East Leah,Other,2,6075.72
U003089,Douglas Montgomery,Velezburgh,Male,2,6070.26
U004659,Shawn Lee,Riverastad,Male,2,6061.9
U000374,Debra Mullen,Craigside,Female,2,6046.12
U004627,Jimmy Avery,Serranoport,Other,2,6012.4
U000085,Julie Thornton,South Tammie,Other,2,6006.3
U001081,Donna Bailey,Burkebury,Female,2,5969.24
U001454,Betty Ferguson,Gregoryborough,Female,4,5961.54
U000567,Gregory Vasquez,South Jenniferville,Other,4,5936.5
U001739,Brooke Ramirez,New Laurahaven,Female,2,5927.7
U001344,Mary Webster,Lake Justintown,Female,4,5912.1
U008355,Gregory Lowe,New Gregoryborough,Female,2,5912.1
U000844,Sarah Walker,Evansburgh,Female,2,5902.44
U004573,Drew Smith,Timothyborough,Male,2,5892.6
U008785,Timothy Collins,Julietown,Female,2,5890.9
U007844,Lisa Lee,Millerland,Female,4,5822.22
U005869,Leah Rogers,Ellenmouth,Male,4,5819.94
U004161,Jonathan Adams,East Aprilmouth,Female,2,5814.56
U004025,Andrea Landry,Hansenmouth,Male,2,5805.52
U008264,Angela Patterson,Mcguirebury,Female,4,5759.54
U008350,Danielle Adams,Garciachester,Female,2,5745.06
U000023,Tommy Lee,Lake Leeton,Other,2,5739.92
U000458,Tina Kennedy,West Timothyport,Male,2,5737.1
U000038,Tracey Wilson,West Ryan,Other,4,5734.92
U002630,Wayne Bishop,South Teresa,Female,4,5726.18
U004550,Shannon Hammond,Melindamouth,Female,2,5698.38
U002446,Peggy Cain,New Lorishire,Male,2,5685.02
U004613,Robert Murphy,Matthewmouth,Female,4,5681.26
U003077,Margaret Woods,Paulmouth,Male,2,5676.22
U002195,Christopher Schultz,North Micheleshire,Male,2,5657.1
U005237,Samantha Moody,Alvaradomouth,Male,4,5646.46
U006952,Brian Frost,North Michael,Female,2,5630.44
U002288,Edward Nixon,Mannburgh,Female,2,5630.14
U004695,Shawn Oconnell,Chasetown,Male,2,5615.96
U009957,Troy Brennan,Hillborough,Male,2,5611.66
U007274,Robert Bauer,Christophertown,Female,2,5599.4
U008685,Michael Walker,West Jennifer,Female,6,5596.84
U005598,Manuel Wells,Mccarthyland,Female,4,5589.7
U009184,Sarah Garcia,West Jessicaview,Male,2,5565.52
U008236,Patricia Thompson,Smithchester,Male,6,5557.44
U009367,Kimberly Bradley,Colleenstad,Male,2,5541.6
U007483,Kim Gallagher,North Anthony,Male,2,5536.32
U002496,David Day,Jacobsfurt,Female,2,5536.14
U008480,Jay Huynh,Matthewstad,Other,6,5497.74
U006531,Alicia Abbott,Littleland,Female,2,5471.6
U008152,John Douglas,Burtonville,Other,2,5462.08
U009318,Monique Weber,New Adam,Female,4,5457.42
U003347,David Wall,Josephberg,Female,4,5430.4
U003750,Roberto Morales,Kellyshire,Other,4,5421.22
U004464,Gerald Johnson,West Christopherland,Male,4,5411.2
U007631,Nathan Graves,East Michaelmouth,Female,2,5405.2
U009935,Nathan Simmons,Adkinsstad,Female,6,5397.32
U006382,Carol Zavala,New Heather,Male,2,5376.18
U006257,Sara Bush,Port Suzanneberg,Female,2,5369.14
U008520,John Johnson,Stoutville,Other,2,5363.04
U007629,Randy Russo,West Johnton,Other,2,5354.12
U000436,Richard Hayes,Lindaside,Other,2,5346.86
U007465,Jeremy Watkins,Josephfurt,Other,4,5338.16
U003487,Adam Pena,Donnaton,Female,2,5320.62
U007484,Kimberly Jackson,Port Mariafurt,Male,2,5320.62
U008440,Vanessa Hunt,West Amandahaven,Female,2,5313.84
U008953,Melanie King,Lake Kimberlyshire,Female,2,5306.22
U009689,Danielle Farrell,Kimberlyburgh,Female,6,5304.02
U004266,Brianna Bennett,New Stevenmouth,Male,4,5297.2
U004375,Kathryn Duncan,Grayfurt,Other,6,5260.94
U001374,Julie Valdez,West Michelle,Other,2,5220.62
U008843,Kimberly Hernandez,East Rebecca,Female,2,5217.56
U005426,Robert Baldwin,Port Jennaville,Other,4,5207.24
U003468,Joyce Adams,South Tammy,Male,2,5205.12
U001067,Emily Chavez,East Kennethmouth,Other,4,5204.54
U002780,Christina Montgomery,Danielshire,Female,2,5185.14
U004023,Richard Trujillo,East Kimberlybury,Male,6,5169.88
U007112,Rachel Miller,New Nathaniel,Female,2,5166.34
U006527,Brett Sandoval,Michellestad,Female,2,5140.7
U002222,Gavin Gordon,Lake Thomasport,Male,4,5131.02
U005072,Ashley King,Harrischester,Other,4,5110.86
U009193,Bryan Carney,Underwoodmouth,Male,4,5107.08
U000183,Shelly Hendrix,Annview,Other,4,5055.82
U009267,April Powell,East Autumn,Male,6,5046.82
U000941,Morgan Hayes,Port Brian,Other,2,5040.06
U000187,Derrick Oconnell,Santosport,Male,2,5037.22
U000546,Monique Martinez,Barrettberg,Male,2,5020.04
U002931,Sara Taylor,Sydneychester,Other,4,4997.7
